,GRB , Transit ,$\sigma_{0.15}$,$\sigma_{0.3}$,$\sigma_{0.6}$
0,GRB170708046 ,1,-3.32,0.28,2.14
1,GRB170816599 ,1,0.26,1.18,2.16
2,GRB150922234 ,1,2.08,2.31,2.31
3,GRB170222209 ,1,-4.84,-1.12,1.71
4,GRB170403583 ,1,-5.01,-2.0,0.78
5,GRB170826369 ,1,-4.12,0.4,1.8
6,GRB190515190 ,1,-6.71,-2.92,1.35
7,GRB230512269 ,1,-0.36,0.84,1.97
8,GRB141205337 ,1,1.01,1.05,1.05
9,GRB150101270 ,1,0.41,1.05,1.86
10,GRB150101641 ,1,1.08,1.44,1.46
11,GRB150110923 ,1,0.89,1.61,2.15
12,GRB150120123 ,1,2.04,2.06,2.07
13,GRB151228129 ,1,0.0,0.27,1.57
14,GRB151229285 ,1,0.21,1.06,1.42
15,GRB160612842 ,1,0.0,0.38,1.23
16,GRB160624477 ,1,0.8,0.9,1.29
17,GRB160726065 ,1,0.0,0.65,0.93
18,GRB160821937 ,1,0.97,1.93,2.45
19,GRB170318644 ,1,0.0,0.0,1.92
20,GRB170325331 ,1,0.0,0.0,2.03
21,GRB170803729 ,1,0.0,0.52,0.65
22,GRB170817529 ,1,2.72,2.72,2.72
23,GRB180204109 ,1,1.67,1.75,1.95
24,GRB180418281 ,1,1.06,1.1,2.64
25,GRB180715755 ,1,0.51,0.58,0.59
26,GRB180718082 ,1,0.54,1.58,1.58
27,GRB180805543 ,1,0.0,0.06,0.99
28,GRB181125371 ,1,0.0,0.0,1.57
29,GRB190427190 ,1,2.55,2.55,2.55
30,GRB201008443 ,1,1.56,2.22,2.3
31,GRB201214672 ,1,2.87,2.87,2.87
32,GRB210323918 ,1,0.0,0.66,2.32
33,GRB210827416 ,1,0.0,0.27,0.63
34,GRB211024065 ,1,0.0,0.0,1.77
35,GRB220412713 ,1,0.61,1.01,2.36
36,GRB220418720 ,1,0.53,0.83,0.85
37,GRB220511571 ,1,0.48,1.6,2.54
38,GRB220617772 ,1,0.0,0.27,2.12
39,GRB221120895 ,1,0.0,0.71,1.43
40,GRB230228244 ,1,0.0,0.0,0.8
41,GRB230812790 ,1,0.25,0.37,0.64
42,GRB170708046 ,2,-2.59,0.09,2.16
43,GRB170816599 ,2,-0.83,1.48,1.95
44,GRB150922234 ,2,1.48,1.85,1.85
45,GRB170206453 ,2,-5.3,0.51,1.58
46,GRB170222209 ,2,-5.2,1.1,2.02
47,GRB170403583 ,2,-0.7,0.62,2.47
48,GRB170826369 ,2,1.78,2.34,2.82
49,GRB190515190 ,2,-2.98,0.98,1.94
50,GRB200605762 ,2,-1.72,-0.01,1.18
51,GRB230512269 ,2,-1.53,0.0,1.49
52,GRB141205337 ,2,1.8,2.19,3.22
53,GRB150101270 ,2,2.01,2.97,3.15
54,GRB150101641 ,2,0.54,0.74,0.89
55,GRB150110923 ,2,1.79,2.06,2.06
56,GRB151229285 ,2,1.02,1.02,1.02
57,GRB160624477 ,2,1.73,1.92,2.03
58,GRB160714097 ,2,0.3,1.22,1.98
59,GRB160726065 ,2,0.0,0.6,1.75
60,GRB170318644 ,2,0.26,1.23,2.14
61,GRB170325331 ,2,0.19,1.0,1.62
62,GRB170803729 ,2,0.01,0.92,2.26
63,GRB170817529 ,2,1.01,1.12,1.12
64,GRB171007498 ,2,0.0,0.0,0.87
65,GRB180204109 ,2,0.83,0.93,1.42
66,GRB180402406 ,2,0.06,2.02,3.05
67,GRB180418281 ,2,1.22,2.18,2.21
68,GRB180715755 ,2,0.22,0.27,1.55
69,GRB180718082 ,2,2.9,2.9,2.9
70,GRB180805543 ,2,0.74,1.77,2.44
71,GRB181125371 ,2,0.72,0.98,2.61
72,GRB190427190 ,2,0.0,0.0,0.15
73,GRB200415367 ,2,3.45,3.45,3.45
74,GRB200623138 ,2,0.0,0.0,1.19
75,GRB201008443 ,2,0.0,2.21,3.02
76,GRB201214672 ,2,2.2,2.2,2.2
77,GRB210323918 ,2,0.0,0.78,1.3
78,GRB210618072 ,2,1.21,1.22,1.22
79,GRB210827416 ,2,0.0,0.0,1.4
80,GRB211024065 ,2,0.66,1.25,1.79
81,GRB220412713 ,2,1.26,1.26,1.26
82,GRB220418720 ,2,2.11,2.48,2.52
83,GRB220511571 ,2,1.51,2.51,2.55
84,GRB220617772 ,2,1.77,1.95,3.12
85,GRB221120895 ,2,0.0,0.55,0.94
86,GRB230228244 ,2,0.0,1.22,3.1
87,GRB230812790 ,2,0.98,1.3,2.09
88,GRB160612842 ,2,,,0.54
