,F,G
0,,
1,4.098538875252209e-11,1.774162033670819e-11
2,1.1207639852769955e-09,1.040113475170214e-09
3,4.5687050944220255e-11,2.3099117365504366e-11
4,4.317946533945599e-11,2.0617479807779978e-11
5,6.583510918019426e-10,1.8705531021039323e-10
6,2.3772423008760367e-09,3.204433195538232e-09
7,4.9854262014454787e-11,2.0483598958112947e-11
8,2.5069079817009043e-11,1.1844937389266407e-11
9,9.27689832588372e-12,4.3324828593177265e-12
10,4.638722213063518e-12,2.5323636571316144e-12
11,4.361940717729402e-12,2.5053197968497084e-12
12,3.655839103938263e-11,1.9752320243752702e-11
13,1.3030359879544477e-10,4.60937900500893e-11
14,3.3390331818677413e-11,1.6695165909338707e-11
15,2.1738636042336797e-10,9.622500164489163e-11
16,1.683484351557654e-11,1.2216138932774229e-11
17,3.443574952566168e-11,1.8824876407361717e-11
18,2.8589066710502485e-11,1.5609981210028964e-11
19,5.0001855660402835e-11,2.1199617165960265e-11
20,3.226949781115282e-11,1.6687109678920467e-11
21,1.0357791201140887e-10,2.873547216087943e-11
22,6.583111598108567e-12,3.6148336007471145e-12
23,5.632347905107536e-11,2.8132250793050204e-11
24,1.6879583206652735e-11,8.221521130826547e-12
25,9.094436131072076e-11,4.3711967210636756e-11
26,3.144844174880124e-11,1.8487871815961938e-11
27,8.811126985922641e-09,2.0401602752639674e-08
28,6.542285952264501e-10,8.48074104923176e-10
29,7.415068487194795e-11,2.6352012623723042e-11
30,1.9863340316826782e-11,8.855636156194257e-12
31,7.89862561453663e-11,3.318010016515388e-11
32,1.828748278761386e-10,6.429845546329987e-11
33,5.664696287304673e-11,2.786802846869987e-11
34,1.2595827214625013e-11,7.319196894984804e-12
35,3.92466077585711e-11,1.882739365201383e-11
36,1.020794223004154e-11,4.4418343217207785e-12
37,3.212761955292382e-11,1.560070895407742e-11
38,inf,inf
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
