GRB,UL_1st_transit,UL_2nd_transit
GRB141205337,0.0,1.06e-12
GRB150101270,0.0,4.31e-12
GRB150101641,4.09e-11,0.0
GRB150110923,3.21e-13,6.99e-12
GRB150120123,3e-09,-
GRB150819440,-,0.0
GRB150922234,0.0,0.0
GRB151228129,0.0,-
GRB151229285,1.43e-12,0.0
GRB160612842,0.0,3.72e-12
GRB160624477,0.0,4.03e-10
GRB160714097,-,0.0
GRB160726065,0.0,0.0
GRB160821937,1.5e-09,-
GRB170206453,-,0.0
GRB170222209,0.0,1.37e-12
GRB170318644,0.0,2.62e-13
GRB170325331,0.0,0.0
GRB170403583,0.0,7.18e-13
GRB170708046,0.0,0.0
GRB170803729,0.0,0.0
GRB170816599,2.9e-13,0.0
GRB170817529,0.0,8.94e-12
GRB170826369,0.0,1.78e-12
GRB171007498,-,0.0
GRB180204109,4.28e-13,0.0
GRB180402406,-,9e-12
GRB180418281,0.0,2.17e-12
GRB180715755,0.0,0.0
GRB180718082,0.0,2.35e-12
GRB180805543,0.0,3.68e-12
GRB181125371,0.0,2.18e-12
GRB190427190,3.3e-12,0.0
GRB190515190,0.0,2.04e-12
GRB191031891,-,0.0
GRB200415367,-,2.5e-10
GRB200605762,-,4.66e-13
GRB200623138,-,0.0
GRB201008443,4.31e-12,0.0
GRB201214672,1.78e-12,3.74e-12
GRB201221963,0.0,0.0
GRB210323918,0.0,0.0
GRB210618072,-,0.0
GRB210827416,0.0,0.0
GRB211024065,0.0,-
GRB220412713,2.27e-12,1e-12
GRB220418720,0.0,1.06e-11
GRB220511571,3.52e-12,0.0
GRB220617772,0.0,2.91e-12
GRB221120895,0.0,0.0
GRB230228244,0.0,1.85e-11
GRB230512269,0.0,0.0
GRB230812790,0.0,1.75e-10
